ARTS_NAME,name,Type,ADDRESS,LATITUDE,LONGITUDE,URL,school_zones
Musikgarten with Ms. Lauren,Musikgarten with Ms. Lauren,Music,1737 Hillandale Rd.,36.0260214,-78.9360577,https://www.facebook.com/musikgartenwithmslauren,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Freeman's Creative,Freeman's Creative,Visual,2020 Chapel Hill Rd. Suite 25,35.9896578,-78.9280656,https://www.freemanscreative.com/,"All,Brogden Middle,Jordan High,Lakewood Elementary,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Michaels Kids Camp,Michaels Kids Camp,Visual,5442 New Hope Commons Dr.,35.9552287,-78.9978737,,"All,Jordan High,Lakewood Montessori Middle,Creekside Elementary,Sherwood Githens Middle,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
ArtPost Supplies and Studios,ArtPost Supplies and Studios,Visual,718 Iredell St.,36.0089142,-78.920778,https://www.artpostnc.com/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Durham Arts Council,Durham Arts Council,Visual,120 Morris St.,36.0011431,-78.9035082,https://durhamarts.org/,"All,Brogden Middle,Lakewood Montessori Middle,Riverside High,Glenn Elementary,Holt Elementary,School for Creative Studies"
AR Workshop,AR Workshop,Visual,905 W Main St. Suite 19A,36.0000834,-78.9097116,https://www.arworkshop.com/durham/,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Montessori Middle,Morehead Montessori,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies,"
Art and Soul by Carol Robinson,Art and Soul by Carol Robinson,Visual,1408 Maplewood Dr.,36.0329712,-78.869121,https://art-and-soul-by-carol-robinson.business.site/?utm_source=gmb&utm_medium=referral,"All,Lakewood Montessori Middle,Glenn Elementary,Lucas Middle,Northern High,Holt Elementary,School for Creative Studies"
Liberty Arts,Liberty Arts,Visual,918 Pearl St.,35.996208,-78.889451,https://www.libertyartsnc.org/contact-us,"All,Brogden Middle,Eastway Elementary,Lakewood Montessori Middle,Northern High,Holt Elementary,School for Creative Studies"
21c Museum Hotel,21c Museum Hotel,Museum,111 North Corcoran St.,35.9960734,-78.9018176,https://www.21cmuseumhotels.com/durham/,"All,Brogden Middle,Lakewood Montessori Middle,Riverside High,Glenn Elementary,Holt Elementary,School for Creative Studies"
5 Points Gallery,5 Points Gallery,Museum,109 E Chapel Hill St.,35.9970592,-78.9033831,https://www.5pointsgallery.com/,"All,Brogden Middle,Lakewood Middle,Riverside High,Glenn Elementary,Holt Elementary,School for Creative Studies"
Arete Frame Gallery,Arete Frame Gallery,Museum,717 Broad St.,36.0086902,-78.9197752,,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Bull City Art & Frame Company,Bull City Art & Frame Company,Museum,905 W Main St.,36.0000834,-78.9097116,https://www.bullcityartandframecompany.com/,"All,Brogden Middle,C.C. Spaulding Elementary,Jordan High,Lakewood Montessori Middle,Pearsontown Elementary,Rogers-Herr,School for Creative Studies"
Craven Allen Gallery & House of Frames,Craven Allen Gallery & House of Frames,Museum,1106 1/2 Broad St.,36.0159619,-78.9190343,https://www.cravenallengallery.com/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,George Watts Elementary,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Louise B. Jones Brown Gallery,Louise B. Jones Brown Gallery,Museum,125 Science Dr.,36.0024491,-78.9421082,https://www.discoverdurham.com/directory/louise-b-jones-brown-gallery/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,George Watts Elementary,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
Hayti Heritage Center,Hayti Heritage Center,Museum,804 Old Fayetteville St.,35.9856393,-78.8980299,https://hayti.org/,"All,Jordan High,Lakewood Montessori Middle,W.G. Pearson Elementary,Sherwood Githens MIddle,Pearsontown Elementary,Rogers-Herr,School for Creative Studies"
NCCU Art Museum,NCCU Art Museum,Museum,1801 Fayetteville St.,35.977922,-78.90043,https://www.nccu.edu/cash/art,"All,Jordan High,Lakewood Montessori Middle,W.G. Pearson Elementary,Sherwood Githens Middle,Pearsontown Elementary,Rogers-Herr Middle,School of Creative Studies"
Nasher Museum of Art at Duke University,Nasher Museum of Art at Duke University,Museum,2001 Campus Dr.,35.9990522,-78.9290629,https://nasher.duke.edu/,"All,Brogden Middle,E.K. Powe Elementary,Lakewood Montessori Middle,Riverside High,George Watts Elementary,Pearsontown Elementary,Rogers-Herr Middle,School for Creative Studies"
