CENTER_NAME,name,URL,LATITUDE,LONGITUDE
Christus Victor Lutheran,Christus Victor Lutheran,https://christus-victor.org,35.90405872,-78.90445238
Cole Mill Road Church of Christ,Cole Mill Road Church of Christ,https://www.colemillroad.org,36.03940259,-78.95710078
The Church of Jesus Christ of Latter-day Saints,The Church of Jesus Christ of Latter-day Saints,https://www.churchofjesuschrist.org/?lang=eng,36.03850033,-78.95890323
Church of God of Prophecy,Church of God of Prophecy,https://cogop.org,36.03891308,-78.880172
Church of the Abiding Savior,Church of the Abiding Savior,https://abiding-savior-lutheran.org,35.97032921,-78.89267077
Church of the Good Shepherd,Church of the Good Shepherd,https://cgsonline.org,35.97132167,-78.97593549
Church Of The Lord Jesus,Church Of The Lord Jesus,https://tcljc.com,35.98655969,-78.88668376
Community Baptist Church,Community Baptist Church,https://cbcdurham.net,35.93503203,-78.90775737
Cornerstone Bible Church,Cornerstone Bible Church,https://www.cbcofdurham.com,36.09988517,-78.93219509
Cornerstone Community,Cornerstone Community,http://www.c2churchrm.com,36.03346967,-78.97726211
Covenant Presbyterian Church,Covenant Presbyterian Church,https://www.cpcdurham.org,35.96819467,-78.91097548
Cresset Baptist Church,Cresset Baptist Church,https://www.discoverdurham.com/directory/cresset-baptist-church/,35.97311698,-78.97364395
Dayspring Fellowship Church,Dayspring Fellowship Church,https://www.discoverdurham.com/directory/dayspring-fellowship-church/,36.01409258,-78.92156187
Duke Memorial United Methodist Church,Duke Memorial United Methodist Church,https://www.dukememorial.org,35.99815358,-78.90919692
Duke's Chapel UMC,Duke's Chapel UMC,http://dukeschapel.org,36.04315832,-78.88094429
First Baptist Church Durham,First Baptist Church Durham,https://fbcdurham.org,35.99741681,-78.89709822
Durham Memorial Baptist Church,Durham Memorial Baptist Church,https://www.durhammemorial.org,35.975614,-78.80401297
Durham Mennonite Church,Durham Mennonite Church,https://www.durhammennonite.org,35.98004238,-78.84088296
Durham Spanish SDA Church,Durham Spanish SDA Church,https://durhamspanishnc.adventistchurch.org,35.99229656,-78.87470908
Ebenezer Missionary Baptist Church,Ebenezer Missionary Baptist Church,https://embcofdurham.com,35.95978821,-78.88689095
Emmanuel AME Church,Emmanuel AME Church,https://www.emmanuelamec.com,35.95626848,-78.88573785
