place,number
Hillside High,98.0
Jordan High,71.2
Riverside High,74.4
Durham Performance Learning Center,96.2
City of Medicine Academy,92.6
J.D. Clement Early College,95.4
Middle College High,59.7
Northern High School,80.0
Southern High School,97.4
Lakeview Secondary School,100.0
Durham County,80.6
