place,number
C.C. Spaulding Elementary,15376
Eastway Elementary,14075
EK Powe Elementary,12784
Fayetteville Street Elementary,14250
Forest View Elementary,11884
Lakewood Elementary,14390
Parkwood Elementary,12102
Southwest Elementary,11837
Hillside High,10625
Jordan High,9603
